"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
estad_civil_pariente,cuestionario_padres_sociodemografico,,radio,"Actualmente usted: ","1, Vive con el padre/madre del niño(a) | 2, Vive con otra pareja | 3, No vive con su pareja, pero mantiene una relación (por ejemplo, su pareja vive en otra casa o en el extranjero) | 4, No vive con una pareja y no tiene una relación | 99, Prefiere no responder","(marque solo una opción)",,,,,,y,LV,,,,
nivel_educativo_pariente,cuestionario_padres_sociodemografico,,radio,"<div class=""rich-text-field-label""><p>¿Cuál es su nivel educativo? <br><span style=""font-weight: normal; color: #1c46f7;"">Del padre/madre/apoderado que está llenando la encuesta</span></p></div>","1, Inicial | 2, Primaria | 3, Secundaria | 4, Técnica | 5, Universitaria","(marque solo una opción)",,,,,,,LV,,,,
situacion_laboral_pariente,cuestionario_padres_sociodemografico,,radio,"¿Cuál es su situación laboral actual?","1, Trabaja actualmente (empleada/o o independiente) | 2, Desempleada/o | 3, Estudiante | 4, Ama/o de casa o se dedica a labores del hogar | 5, Jubilada/o o pensionista | 6, Persona con discapacidad o en rehabilitación | 7, Militar o miembro de las fuerzas armadas/policía | 8, Otra, especifique: {laboral_pariente_1} | 99, Prefiere no responder","(marque solo una opción)",,,,,,y,LV,,,,
laboral_pariente_1,cuestionario_padres_sociodemografico,,text,"Otra, especifique: ",,"(marque solo una opción)",,,,,"[situacion_laboral_pariente]=""8""",y,LV,,,," @CHARLIMIT=50"
sit_economica_1,cuestionario_padres_sociodemografico,,radio,"¿Cómo describiría la situación económica actual de su familia?","1, Viven con comodidad | 2, Les alcanza bien | 3, Se las arreglan con lo que tienen | 4, Les resulta algo difícil cubrir los gastos | 5, Les resulta muy difícil cubrir los gastos | 99, Prefiere no responder","(marque solo una opción)",,,,,,y,LV,,,,
sit_economica_2,cuestionario_padres_sociodemografico,,radio,"En comparación con hace cinco años, ¿cómo considera que está la situación económica de su familia ahora?","1, Mejor que antes | 2, Peor que antes | 3, Más o menos igual | 99, Prefiere no responder",,,,,,,y,LV,,,,
sit_economica_3,cuestionario_padres_sociodemografico,,radio,"En comparación con hace cinco años, ¿cómo considera que está la situación económica de su familia ahora?","1, Menos de S/. 1130 | 2, Entre S/.1131 y S/.2260 | 3, Entre S/. 2261 y S/. 3390 | 4, Entre S/. 3391 y S/. 4520 | 5, Más de 4521 | 99, Prefiere no responder","No es necesario ser preciso, solo es un aproximado (marque solo una opción)",,,,,,y,LV,,,,
seguro_de_salud_adolescente,cuestionario_padres_sociodemografico,,radio,"¿Qué tipo de seguro de salud tiene el adolescente?","1, SIS | 2, EsSalud | 3, Privado",,,,,,,y,LV,,,,
direccion_distrito,cuestionario_padres_sociodemografico,,text,"<div class=""rich-text-field-label""><p>¿En qué dirección y distrito vive actualmente? <br><span style=""font-weight: normal; color: #1c46f7;"">Es necesario poner la dirección exacta</span></p></div>",,"Escribir en mayúsculas y sin tildes.",,,,,,,LV,,,," @CHARLIMIT=150 @PLACEHOLDER='Ejemplo: Calle Ciro Alegría 103, Miraflores'"
ano_residencia,cuestionario_padres_sociodemografico,,text,"<div class=""rich-text-field-label""><p>¿Hace cuánto tiempo vive en este domicilio en <span style=""text-decoration: underline;"">años</span>?</p></div>",,"Unidad: años",integer,0,80,,,y,LV,,,," @PLACEHOLDER='10'"
nombre_hijo,cuestionario_padres_sociodemografico,"<div class=""rich-text-field-label""><p style=""text-align: center;"">Módulo 2: Antecedentes del Adolescente</p></div>",text,"Nombre y Apellidos del niño que será evaluado",,"Escribir en mayúsculas y sin tildes.",,,,,,y,LV,,,," @PLACEHOLDER='ANA LUCIA ALCANTARA DIAZ'"
orden_del_hijo,cuestionario_padres_sociodemografico,,radio,"¿Qué orden ocupa el niño(a) participante (su hijo) entre sus hijos(as)?","1, Primer hijo(a) | 2, Segundo hijo(a) | 3, Tercer hijo(a) | 4, Cuarto hijo(a) | 5, Quinto hijo(a) | 6, Sexto hijo(a) | 7, Más de seis hijos(as)","(marque solo una opción)",,,,,,,LV,,,,
fecgha_nacimiento_adolescente,cuestionario_padres_sociodemografico,,text,"Fecha de nacimiento del el participante (su hijo) ",,(DD/MM/AAAA),date_dmy,,,,,y,LV,,,," @HIDEBUTTON"
edad_adolescente,cuestionario_padres_sociodemografico,,text,"Edad adolescente (autorreportada por el padre)",,"Unidad: años",number,,,,,y,LV,,,,
lactancia_materna,cuestionario_padres_sociodemografico,,radio,"<div class=""rich-text-field-label""><p>Con respecto a la lactancia materna, el participante (su hijo):<br><span style=""font-weight: normal; color: #1c46f7;"">¿Recibió<span style=""text-decoration: underline;""> leche materna exclusiva</span> hasta los 6 meses de edad ?</span></p></div>","1, Sí | 0, No",,,,,,,y,LV,,,,
lactancia_materna_2,cuestionario_padres_sociodemografico,,radio,"¿Qué edad tenía su hijo cuando dejó de recibir leche materna por completo? ","1, Meses | 99, No recuerda","Indicar el número en meses ",,,,,,y,LV,,,,
lactancia_materna_2_meses,cuestionario_padres_sociodemografico,,text,"Indicar en meses",,"Indicar en meses, según corresponda",number,,,,"[lactancia_materna_2]=""1""",y,LV,,,,
lactancia_materna_3,cuestionario_padres_sociodemografico,,radio,"¿A qué edad comenzó a tomar leche de fórmula?","1, Meses | 2, Nunca tomó fórmula | 99, No recuerda","Indicar el número en meses ",,,,,,y,LV,,,,
lactancia_materna_3_meses,cuestionario_padres_sociodemografico,,text,"Indicar en meses",,"Indicar en meses, según corresponda",number,,,,"[lactancia_materna_3]=""1""",y,LV,,,,
lactancia_materna_4,cuestionario_padres_sociodemografico,,radio,"¿A qué edad comenzó la alimentación complementaria (por ejemplo, papillas)? ","1, Meses | 99, No recuerda","Indicar  el número en meses ",,,,,,y,LV,,,,
lactancia_materna_4_meses,cuestionario_padres_sociodemografico,,text,"Indicar meses",,"Indicar en meses, según corresponda",number,,,,"[lactancia_materna_4]=""1""",y,LV,,,,
hospitalizado_nino_nacer,cuestionario_padres_sociodemografico,,radio,"Durante el primer año de nacido, ¿el adolescente (su hijo) fue hospitalizado al nacer?","1, Sí | 0, No",,,,,,,y,LV,,,,
hospitalizado_nino_nacer_1,cuestionario_padres_sociodemografico,,text,"Si marcó ""Sí"", indique la duración de la hospitalización:",,"Indicar en días que duro la hospitalización",number,,,,"[hospitalizado_nino_nacer]=""1""",y,LV,,,,
enf_bajopeso_prematuro,cuestionario_padres_sociodemografico,,radio,"¿El adolescente nació con bajo peso o de forma prematura (antes de las 37 semanas de gestación)?","1, Sí | 0, No",,,,,,,y,LV,,,,
enf_macrosomia,cuestionario_padres_sociodemografico,,radio,"¿El adolescente nació con macrosomía (peso mayor de 4 kilos al nacer)?","1, Sí | 0, No",,,,,,,y,LV,,,,
enf_pulmonares,cuestionario_padres_sociodemografico,,checkbox,"¿El adolescente ha sido diagnosticado alguna vez con alguna de las siguientes enfermedades?","1, Rinitis alérgica | 2, Asma | 3, Dermatitis atópica | 4, Bronquitis crónica | 0, Ninguna",,,,,,,y,LV,,,,
enf_dm1,cuestionario_padres_sociodemografico,,radio,"¿El adolescente ha sido diagnosticado con diabetes tipo 1?","1, Sí | 0, No",,,,,,,y,LV,,,,
enf_resit_insulina,cuestionario_padres_sociodemografico,,radio,"¿El adolescente ha presentado resistencia a la insulina?","1, Sí | 0, No",,,,,,,y,LV,,,,
enf_dislipidemias,cuestionario_padres_sociodemografico,,radio,"¿El adolescente  ha sido diagnosticado con dislipidemia (colesterol o triglicéridos elevados o ambas)?","1, Sí | 0, No",,,,,,,y,LV,,,,
inf_respirat_recurrentes,cuestionario_padres_sociodemografico,,radio,"¿El adolescente  ha tenido infecciones respiratorias recurrentes (es decir, neumonía, gripe)?","1, Sí | 0, No",,,,,,,y,LV,,,,
enf_medicamentos_cronicos,cuestionario_padres_sociodemografico,,radio,"¿El adolescente ha usado medicamentos de forma crónica (por más de 3 meses)?","1, Sí | 0, No",,,,,,,y,LV,,,,
enf_medicamentos_cronicos_si,cuestionario_padres_sociodemografico,,notes,"Si marcó ""Sí"", indique qué medicamentos usa o ha usado: ",,"Escriba con letras mayúsculas y sin tildes.",,,,,"[enf_medicamentos_cronicos]=""1""",y,LV,,,," @PLACEHOLDER='FLUTICASONA, SALBUTAMOL, LOSARTAN'"
hospita_previas,cuestionario_padres_sociodemografico,,radio,"Durante este año, ¿El adolescente ha tenido hospitalizaciones previas?","1, Sí | 0, No",,,,,,,y,LV,,,,
hospita_previas_1,cuestionario_padres_sociodemografico,,text,"Si marcó ""Sí"", ¿Cuántas veces fue hospitalizado?",,"Inidcar en número las veces que fue hospitalizado",integer,,,,"[hospita_previas]=""1""",y,LV,,,," @PLACEHOLDER='2'"
hospita_previas_2,cuestionario_padres_sociodemografico,,notes,"Si marcó ""Sí"", ¿Por qué motivos fue hospitalizado? ",,"Escriba con letras mayúsculas y sin tildes.",,,,,"[hospita_previas]=""1""",y,LV,,,," @PLACEHOLDER='NEUMONIA, APENDICITIS'"
vacunas,cuestionario_padres_sociodemografico,,radio,"Durante este año, ¿el adolescente tiene sus vacunas al día?","1, Sí | 0, No","(Marque solo una opción).",,,,,,y,LV,,,,
vacunas_2,cuestionario_padres_sociodemografico,,notes,"Si marcó ""Sí"",  ¿Qué vacunas tiene actualmente?",,"Escribir en mayúsculas y sin tildes ",,,,,"[vacunas]=""1""",y,LV,,,," @PLACEHOLDER='INFLUENZA, COVID-19'"
ant_familiar_pulmon,cuestionario_padres_sociodemografico,"<div class=""rich-text-field-label""><p style=""text-align: center;"">Módulo 3: Antecedentes Familiares</p></div>",radio,"¿Algún familiar tiene diagnóstico de asma, rinitis o enfermedad pulmonar obstructiva crónica (EPOC)?","1, Sí | 0, No",,,,,,,y,LV,,,,
ant_familiar_pulmon_2,cuestionario_padres_sociodemografico,,text,"Si marcó ""Sí"", indiquie quién(es): ",,"Escribir en mayúsculas y sin tildes",,,,,"[ant_familiar_pulmon]=""1""",y,LV,,,," @PLACEHOLDER='MAMA, ABUELA MATERNA'"
ant_diabetes2,cuestionario_padres_sociodemografico,,radio,"¿Algún familiar ha sido diagnosticado con diabetes tipo 2?","1, Sí | 0, No",,,,,,,y,LV,,,,
ant_diabetes2_2,cuestionario_padres_sociodemografico,,text,"Si marcó ""Sí"", indiquie quién(es): ",,"Escribir en mayúsculas y sin tildes",,,,,[ant_diabetes2]='1',y,LV,,,," @PLACEHOLDER='MAMA, ABUELA MATERNA'"
ant_hta,cuestionario_padres_sociodemografico,,radio,"¿Algún familiar ha sido diagnosticado con hipertensión arterial?","1, Sí | 0, No",,,,,,,y,LV,,,,
ant_hta_2,cuestionario_padres_sociodemografico,,text,"Si marcó ""Sí"", indiquie quién(es): ",,"Escribir en mayúsculas y sin tildes",,,,,"[ant_hta]=""1""",y,LV,,,," @PLACEHOLDER='MAMA, ABUELA MATERNA'"
ant_fenf_cardiov,cuestionario_padres_sociodemografico,,radio,"¿Algún familiar ha tenido enfermedad cardiovascular precoz (por ejemplo, infarto agudo de miocardio o accidente cerebrovascular antes de los 55 años en varones o 65 años en mujeres)?","1, Sí | 0, No",,,,,,,y,LV,,,,
ant_fenf_cardiov_2,cuestionario_padres_sociodemografico,,text,"Si marcó ""Sí"", indiquie quién(es): ",,"Escribir en mayúsculas y sin tildes",,,,,"[ant_fenf_cardiov]=""1""",y,LV,,,," @PLACEHOLDER='MAMA, ABUELA MATERNA'"
ant_dislipidemias,cuestionario_padres_sociodemografico,,radio,"¿Algún familiar ha sido diagnosticado con dislipidemia (hipercolesterolemia, hipertrigliceridemia o ambas)?","1, Sí | 0, No",,,,,,,y,LV,,,,
ant_dislipidemias_2,cuestionario_padres_sociodemografico,,text,"Si marcó ""Sí"", indiquie quién(es): ",,"Escribir en mayúsculas y sin tildes",,,,,"[ant_dislipidemias]=""1""",y,LV,,,," @PLACEHOLDER='MAMA, ABUELA MATERNA'"
ant_cancer,cuestionario_padres_sociodemografico,,radio,"¿Algún familiar ha tenido cáncer?","1, Sí | 0, No",,,,,,,y,LV,,,,
ant_cancer_2,cuestionario_padres_sociodemografico,,text,"Si marcó ""Sí"", indiquie quién(es): ",,"Escribir en mayúsculas y sin tildes",,,,,"[ant_cancer]=""1""",y,LV,,,," @PLACEHOLDER='MAMA, ABUELA MATERNA'"
ant_obesidad,cuestionario_padres_sociodemografico,,radio,"¿Algún familiar tiene obesidad o sobrepeso?","1, Sí | 0, No",,,,,,,y,LV,,,,
ant_obesidad_2,cuestionario_padres_sociodemografico,,text,"Si marcó ""Sí"", indiquie quién(es): ",,"Escribir en mayúsculas y sin tildes",,,,,"[ant_obesidad]=""1""",y,LV,,,," @PLACEHOLDER='MAMA, ABUELA MATERNA'"
ant_familiar_otros,cuestionario_padres_sociodemografico,,radio,"¿Algún familiar tiene otras enfermedades (especifique:___________________________________________)?","1, Sí | 0, No",,,,,,,y,LV,,,,
ant_familiar_otros_2,cuestionario_padres_sociodemografico,,text,"Si marcó ""Sí"", indiquie quién(es): ",,"Escribir en mayúsculas y sin tildes",,,,,"[ant_familiar_otros]=""1""",y,LV,,,," @PLACEHOLDER='MAMA, ABUELA MATERNA'"
ansiedad_1,cuestionario_padres_sociodemografico,"<div class=""rich-text-field-label""><p style=""text-align: center;"">Módulo 4: Síntomas de Ansiedad del Padre/Madre/Apoderado</p> <p dir=""ltr""><span style=""color: #1c46f7;""><span style=""font-weight: normal;"">(Estas preguntas se refieren a usted, no a su hijo o hija). </span><span style=""font-weight: normal;"">Piense en cómo se ha sentido durante </span><span style=""text-decoration: underline;"">las últimas dos semanas.</span></span></p> <p style=""text-align: left;""> </p></div>",radio,"<div class=""rich-text-field-label""><p><span style=""color: #ba372a;"">A. Ansiedad</span><br>¿Con qué frecuencia se sintió nervioso(a), intranquilo(a) o con los nervios de punta?</p></div>","0, Nunca | 1, Varios días | 2, Más de la mitad de los días | 3, Casi todos los días",,,,,,,y,LV,,,,
ansiedad_2,cuestionario_padres_sociodemografico,,radio,"¿Con qué frecuencia sintió que no podía dejar de preocuparse o controlar la preocupación?","0, Nunca | 1, Varios días | 2, Más de la mitad de los días | 3, Casi todos los días",,,,,,,y,LV,,,,
depresion_1,cuestionario_padres_sociodemografico,,radio,"<div class=""rich-text-field-label""><p><span style=""color: #ba372a;"">B. Depresión:</span><br>¿Con qué frecuencia tuvo poco interés o placer en hacer cosas?</p></div>","0, Nunca | 1, Varios días | 2, Más de la mitad de los días | 3, Casi todos los días",,,,,,,y,LV,,,,
depresion_2,cuestionario_padres_sociodemografico,,radio,"¿Con qué frecuencia se ha sentido decaído(a), deprimido(a) o sin esperanzas?
","0, Nunca | 1, Varios días | 2, Más de la mitad de los días | 3, Casi todos los días",,,,,,,y,LV,,,,
cond_agresiv_1,cuestionario_padres_sociodemografico,"<div class=""rich-text-field-label""><p style=""text-align: center;"">Módulo 5: Conductas Agresivas Observadas a su Adolescente</p> <p dir=""ltr""><span style=""color: #1c46f7;""><strong id=""docs-internal-guid-51077e0e-7fff-e4aa-1176-ab4d6af92e19"">A continuación, se presentan algunas conductas que pueden ocurrir en el hogar o fuera de casa.<br>Por favor, indique con qué frecuencia su hijo(a) ha mostrado cada una de las siguientes conductas durante los últimos 6 meses.</strong></span></p></div>",radio,"<div class=""rich-text-field-label""><p>A. Conductas <span style=""text-decoration: underline;"">dentro </span>del hogar:<br>¿Con qué frecuencia su hijo/a gritó a otros niños en casa?</p></div>","1, Nunca | 2, 1-2 veces | 3, 3-5 veces | 4, 6-10 veces | 5, Más de 10 veces",,,,,,,y,LV,,,,
cond_agresiv_2,cuestionario_padres_sociodemografico,,radio,"¿Con qué frecuencia su hijo(a) gritó a adultos en casa (por ejemplo, padres, cuidadores u otros familiares)?","1, Nunca | 2, 1-2 veces | 3, 3-5 veces | 4, 6-10 veces | 5, Más de 10 veces",,,,,,,y,LV,,,,
cond_agresiv_3,cuestionario_padres_sociodemografico,,radio,"¿Con qué frecuencia su hijo(a) insultó a otros niños en casa?","1, Nunca | 2, 1-2 veces | 3, 3-5 veces | 4, 6-10 veces | 5, Más de 10 veces",,,,,,,y,LV,,,,
cond_agresiv_4,cuestionario_padres_sociodemografico,,radio,"¿Con qué frecuencia su hijo(a) insultó a adultos en casa?","1, Nunca | 2, 1-2 veces | 3, 3-5 veces | 4, 6-10 veces | 5, Más de 10 veces",,,,,,,y,LV,,,,
cond_agresiv_5,cuestionario_padres_sociodemografico,,radio,"¿Con qué frecuencia su hijo(a) amenazó verbalmente con golpear a un niño en casa?","1, Nunca | 2, 1-2 veces | 3, 3-5 veces | 4, 6-10 veces | 5, Más de 10 veces",,,,,,,y,LV,,,,
cond_agresiv_6,cuestionario_padres_sociodemografico,,radio,"<div class=""rich-text-field-label""><p>B. Conductas <span style=""text-decoration: underline;"">fuera</span> del hogar:<br>¿Con qué frecuencia su hijo(a) gritó a amigos o compañeros fuera de casa?</p></div>","1, Nunca | 2, 1-2 veces | 3, 3-5 veces | 4, 6-10 veces | 5, Más de 10 veces",,,,,,,y,LV,,,,
cond_agresiv_7,cuestionario_padres_sociodemografico,,radio,"<div class=""rich-text-field-label""><p><strong id=""docs-internal-guid-674c5e6c-7fff-29b2-9888-923d4f1d1bec"">¿Con qué frecuencia su hijo(a) gritó a adultos fuera de casa (por ejemplo, profesores, vecinos u otros adultos)?</strong></p></div>","1, Nunca | 2, 1-2 veces | 3, 3-5 veces | 4, 6-10 veces | 5, Más de 10 veces",,,,,,,y,LV,,,,
cond_agresiv_8,cuestionario_padres_sociodemografico,,radio,"<div class=""rich-text-field-label""><p><strong id=""docs-internal-guid-4f87280f-7fff-5162-0414-652df0ba1d9e"">¿Con qué frecuencia su hijo(a) insultó a amigos o compañeros fuera de casa?</strong></p></div>","1, Nunca | 2, 1-2 veces | 3, 3-5 veces | 4, 6-10 veces | 5, Más de 10 veces",,,,,,,y,LV,,,,
cond_agresiv_9,cuestionario_padres_sociodemografico,,radio,"<div class=""rich-text-field-label""><p><strong id=""docs-internal-guid-c7fa6ae6-7fff-945a-a0c5-6446f0accb09"">¿Con qué frecuencia su hijo(a) insultó a adultos fuera de casa?</strong></p></div>","1, Nunca | 2, 1-2 veces | 3, 3-5 veces | 4, 6-10 veces | 5, Más de 10 veces",,,,,,,y,LV,,,,
encuestador_8,cuestionario_padres_sociodemografico," ",text,Encuestador,,,,,,,,y,RH,,,," @USERNAME"
fecha_hora_8,cuestionario_padres_sociodemografico,,text,"Fecha y hora (fin)",,HH:MM:SS,time_hh_mm_ss,,,,,y,RH,,,," @NOW @HIDEBUTTON @READONLY"
comentario_antropometria_5,cuestionario_padres_sociodemografico,,notes,"Comentario adicional",,"Escribir en mayúsculas y sin tildes",,,,,,,LH,,,," @CHARLIMIT=300 @PLACEHOLDER=""OBSERVACIONES O INCIDENCIAS DURANTE LA MEDICIÓN EN TRABAJO DE CAMPO"""
